STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,TAVG,TMAX,TMIN,TOBS
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,1/23/2007,0,0,,28,21,24
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,1/23/2007,0,0,,26,21,
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,1/24/2007,0,0,,28,19,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,1/24/2007,0,0,,33,22,24
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,1/25/2007,0,0,,26,10,11
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,1/25/2007,0,0,,21,13,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,1/26/2007,0,0,,45,11,26
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,1/26/2007,0,0,,42,19,
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,1/27/2007,0.01,0.5,,34,19,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,1/27/2007,0,0,,34,25,28
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,1/28/2007,0.04,1.5,,24,11,12
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,1/28/2007,0.02,0.9,,22,9,
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,1/29/2007,0.05,1.6,,23,7,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,1/29/2007,0,0,,24,7,11
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,1/30/2007,0.04,0.5,,24,8,9
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,1/30/2007,0,0.2,,23,8,
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,1/31/2007,0,0.2,,18,1,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,1/31/2007,0,0,,20,2,3
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,2/1/2007,0,0.1,,23,8,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,2/1/2007,0,0,,30,3,20
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,2/2/2007,0,0,,14,4,5
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,2/2/2007,0,0,,11,4,
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,2/3/2007,0,0.1,,8,-7,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,2/3/2007,0.01,0.1,,8,3,6
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,2/4/2007,0,0,,1,-11,-9
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,2/4/2007,0,0,,-1,-10,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,2/5/2007,0,0,,5,-14,-11
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,2/5/2007,0,0,,3,-11,
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,2/6/2007,0.03,0.5,,8,-7,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,2/6/2007,0,0,,12,-13,-3
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,2/7/2007,0.03,0.2,,19,-4,-2
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,2/7/2007,0,0,,16,-2,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,2/8/2007,0,0,,18,-3,0
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,2/8/2007,0,0,,17,0,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,2/9/2007,0,0,,20,-1,2
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,2/9/2007,0,0,,17,3,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,2/10/2007,0,0,,20,-1,0
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,2/10/2007,0,0,,16,1,
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,2/11/2007,0.01,0.1,,22,7,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,2/11/2007,0,0,,22,-1,12
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,2/12/2007,0.13,2.8,,27,22,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,2/12/2007,0.02,2,,28,12,21
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,2/13/2007,0.28,6.5,,25,13,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,2/13/2007,0.05,0.6,,22,19,20
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,2/14/2007,0.02,1.3,,19,7,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,2/14/2007,0.05,0.5,,22,5,7
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,2/15/2007,0,0,,21,-1,2
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,2/15/2007,0,0,,17,2,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,2/16/2007,0,0,,24,-2,2
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,2/16/2007,0,0,,18,-2,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,2/17/2007,0,0,,30,1,17
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,2/17/2007,0,0,,28,16,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,2/18/2007,0,0,,27,10,11
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,2/18/2007,0,0,,22,12,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,2/19/2007,0,0,,47,11,20
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,2/19/2007,0,0,,43,14,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,2/20/2007,0,0,,48,20,35
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,2/20/2007,0,0,,41,27,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,2/21/2007,0,0,,52,22,27
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,2/21/2007,0,0,,47,24,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,2/22/2007,0,0,,39,27,32
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,2/22/2007,0,0,,41,29,
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,2/23/2007,0.03,0.8,,30,24,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,2/23/2007,0,0,,30,21,23
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,2/24/2007,0.36,7.4,,31,24,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,2/24/2007,0.36,5,,35,23,26
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,2/25/2007,0.73,6,,37,26,35
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,2/25/2007,0.41,3.2,,37,30,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,2/26/2007,0.11,0.5,,36,29,31
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,2/26/2007,0.03,0.3,,34,30,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,2/27/2007,0.09,0.1,,39,30,32
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,2/27/2007,0.01,0.1,,36,31,
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,2/28/2007,0.05,0.5,,35,31,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,2/28/2007,0,0,,37,31,34
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/1/2007,0.4,3,,38,31,32
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/1/2007,0.42,1.3,,38,33,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/2/2007,0.05,1,,32,28,29
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/2/2007,0.04,0.5,,33,25,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/3/2007,0.08,1,,30,23,23
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/3/2007,0,0,,28,22,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/4/2007,0,0,,35,13,15
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/4/2007,0,0,,31,16,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/5/2007,0,0,,29,15,27
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/5/2007,0,0,,31,15,
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/6/2007,0.12,2.6,,22,9,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/6/2007,0,0,,24,6,10
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/7/2007,0.11,1.5,,33,10,19
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/7/2007,0,0,,26,18,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/8/2007,0,0,,39,9,19
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/8/2007,0,0,,33,12,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/9/2007,0,0,,53,18,34
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/9/2007,0.29,0,,48,29,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/10/2007,0.11,0,,50,33,36
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/10/2007,0,0,,49,36,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/11/2007,0,0,,56,24,26
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/11/2007,0,0,,51,29,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/12/2007,0,0,,60,24,43
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/12/2007,0.02,0,,58,40,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/13/2007,0,0,,72,42,50
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/13/2007,0,0,,72,47,
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/14/2007,0.05,0,,61,34,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/14/2007,0,0,,58,48,50
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/15/2007,0,0,,37,26,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/15/2007,0.05,0,,33,29,30
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/16/2007,0,0,,35,21,23
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/16/2007,0,0,,34,23,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/17/2007,0,0,,41,22,23
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/17/2007,0,0,,35,23,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/18/2007,0,0,,46,19,21
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/18/2007,0,0,,41,24,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/19/2007,0,0,,58,20,40
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/19/2007,0,0,,56,35,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/20/2007,0,0,,40,26,27
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/20/2007,0,0,,38,27,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/21/2007,0.18,0,,65,27,37
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/21/2007,0.96,0,,63,34,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/22/2007,0.6,0,,58,36,51
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/22/2007,0.51,0,,64,45,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/23/2007,0,0,,57,36,38
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/23/2007,0.02,0,,51,38,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/24/2007,0.03,0,,68,37,47
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/24/2007,0,0,,60,42,
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/25/2007,0,0,,79,40,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/25/2007,0,0,,80,43,48
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/26/2007,0,0,,82,48,64
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/26/2007,0,0,,80,63,
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/27/2007,0.02,0,,67,41,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/27/2007,0,0,,57,61,62
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/28/2007,0.32,0,,48,39,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/28/2007,0.59,0,,46,42,42
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/29/2007,0.03,0,,59,40,43
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/29/2007,0,0,,54,40,
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/30/2007,0.04,0,,45,39,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/30/2007,0,0,,50,42,44
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,3/31/2007,0.4,0,,50,40,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,3/31/2007,0.02,0,,51,41,43
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,4/1/2007,0.38,0,,61,43,48
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,4/1/2007,0,0,,60,46,
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,4/2/2007,0.13,0,,61,42,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,4/2/2007,0.03,0,,63,43,43
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,4/3/2007,1.51,0,,54,38,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,4/3/2007,1.8,0,,57,42,46
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,4/4/2007,0,0,,38,27,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,4/4/2007,0.13,0,,31,30,31
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,4/5/2007,0,0,,37,23,24
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,4/5/2007,0,0,,38,24,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,4/6/2007,0,0,,35,21,23
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,4/6/2007,0,0,,34,22,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,4/7/2007,0,0,,31,21,22
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,4/7/2007,0,0,,30,21,
USC00475474,"MILWAUKEE MOUNT MARY COLLEGE, WI US",43.0719,-88.0294,221.3,4/8/2007,0,0,,38,22,24
USW00014839,"MILWAUKEE MITCHELL INTERNATIONAL AIRPORT, WI US",42.955,-87.9044,204.2,4/8/2007,0,0,,37,25,
